neighborhood,has_playground
Squirrel Hill South,32
East Liberty,26
Beechview,21
Allegheny Center,15
South Side Slopes,14
Hazelwood,13
Sheraden,13
Elliott,11
Beltzhoover,10
Highland Park,10
Mount Washington,10
Squirrel Hill North,10
Garfield,9
Regent Square,9
South Oakland,9
Lincoln Place,9
Brighton Heights,8
Crawford-Roberts,8
Fineview,8
Troy Hill,7
Bloomfield,7
Brookline,7
Carrick,7
Greenfield,7
Manchester,7
Lincoln-Lemington-Belmar,6
Banksville,6
Perry North,6
Swisshelm Park,6
Crafton Heights,5
Upper Lawrenceville,5
Upper Hill,5
South Side Flats,5
Windgap,5
Morningside,5
Shadyside,5
Marshall-Shadeland,5
New Homestead,5
Allentown,4
Polish Hill,4
Central Northside,4
Oakwood,4
Fairywood,4
Duquesne Heights,4
Homewood West,4
Homewood North,4
Terrace Village,4
Spring Garden,3
Central Lawrenceville,3
Larimer,3
Spring Hill-City View,3
Bedford Dwellings,3
West End,3
Bon Air,3
Stanton Heights,3
Point Breeze North,3
Perry South,3
Hays,3
East Allegheny,3
Middle Hill,3
Esplen,2
Central Oakland,2
Bluff,2
Westwood,2
East Carnegie,2
Lower Lawrenceville,2
West Oakland,1
Strip District,1
